name,author,quantity,genre,language,description,due_date
Tirant lo Blanc,Joanot Martorell,1,Classic,Catalan,Un cavaller brito viu aventures a Bizanci.,
Les aventures d'en Massagran,Josep Maria Folch i Torres,1,Children,Catalan,Un nen de Barcelona viatja per mig mon.,
Le Petit Prince,Antoine de Saint-Exupery,1,Children,French,Un aviateur rencontre un petit prince venu d'une autre planete.,
L'Étranger,Albert Camus,5,Philosophical,French,Un homme indifferent commet un meurtre en Algerie.,
La Peste,Albert Camus,4,Literary Fiction,French,Une ville algerienne est mise en quarantaine.,
Les Misérables,Victor Hugo,2,Classic,French,Un ancien bagnard cherche la redemption.,
Madame Bovary,Gustave Flaubert,1,Classic,French,Une femme s'ennuie dans son mariage en province.,
Le Comte de Monte-Cristo,Alexandre Dumas,5,Adventure,French,Un homme injustement emprisonne prepare sa vengeance.,
Vingt mille lieues sous les mers,Jules Verne,1,Adventure,French,Un voyage a bord du sous-marin du capitaine Nemo.,
L'Élégance du hérisson,Muriel Barbery,2,Literary Fiction,French,Une concierge cultivee et une adolescente se rencontrent.,
Il nome della rosa,Umberto Eco,4,Mystery,Italian,Un frate indaga su delitti in un'abbazia medievale.,
L'amica geniale,Elena Ferrante,1,Literary Fiction,Italian,L'amicizia di due ragazze nella Napoli del dopoguerra.,
Il Gattopardo,Giuseppe Tomasi di Lampedusa,4,Historical Fiction,Italian,Un principe siciliano assiste alla fine del suo mondo.,
Der Prozess,Franz Kafka,3,Classic,German,"Ein Mann wird verhaftet, ohne zu wissen warum.",
Die Verwandlung,Franz Kafka,5,Classic,German,Ein Handlungsreisender erwacht als riesiges Insekt.,
Siddhartha,Hermann Hesse,4,Philosophical,German,Ein junger Brahmane sucht auf vielen Wegen die Erleuchtung.,
The Lord of the Rings: The Two Towers,J.R.R. Tolkien,2,Fantasy,English,The fellowship is broken and war comes to Rohan.,
The Return of the King,J.R.R. Tolkien,5,Fantasy,English,The final battle for Middle-earth and Frodo's last steps.,
Harry Potter and the Chamber of Secrets,J.K. Rowling,1,Fantasy,English,A hidden chamber threatens the students of Hogwarts.,
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,1,Fantasy,English,A dangerous prisoner escapes and seems to be after Harry.,
"The Lion, the Witch and the Wardrobe",C.S. Lewis,5,Fantasy,English,Four children find a magical land through a wardrobe.,
Mistborn: The Final Empire,Brandon Sanderson,5,Fantasy,English,A street thief joins a plot to overthrow an immortal emperor.,
American Gods,Neil Gaiman,2,Fantasy,English,An ex-convict is caught in a war between old and new gods.,
Good Omens,Terry Pratchett; Neil Gaiman,2,Fantasy,English,An angel and a demon try to prevent the apocalypse.,
"I, Robot",Isaac Asimov,5,Science Fiction,English,Stories about robots bound by the Three Laws.,
Do Androids Dream of Electric Sheep?,Philip K. Dick,5,Science Fiction,English,A bounty hunter tracks rogue androids in a ruined world.,
The Left Hand of Darkness,Ursula K. Le Guin,3,Science Fiction,English,An envoy visits a planet where people have no fixed gender.,
Snow Crash,Neal Stephenson,2,Science Fiction,English,A hacker and pizza courier uncovers a digital virus.,
The Three-Body Problem,Liu Cixin,3,Science Fiction,English,Humanity makes contact with a civilisation in crisis.,
Klara and the Sun,Kazuo Ishiguro,1,Science Fiction,English,An artificial friend observes the family she serves.,
The Time Machine,H.G. Wells,1,Science Fiction,English,A traveller visits the distant future of humanity.,
The War of the Worlds,H.G. Wells,5,Science Fiction,English,Martians invade Victorian England.,
Rebecca,Daphne du Maurier,1,Mystery,English,A new wife lives in the shadow of the first Mrs de Winter.,
The Big Sleep,Raymond Chandler,3,Mystery,English,Private detective Philip Marlowe takes on a blackmail case.,
The Talented Mr Ripley,Patricia Highsmith,5,Thriller,English,A young man takes over a rich acquaintance's life.,
The Secret History,Donna Tartt,5,Thriller,English,Classics students at an elite college commit a murder.,
The Girl on the Train,Paula Hawkins,5,Thriller,English,A commuter becomes involved in a missing person case.,
Big Little Lies,Liane Moriarty,1,Thriller,English,A school fundraiser ends in a death among parents.,
Carrie,Stephen King,2,Horror,English,A bullied teenage girl discovers telekinetic powers.,
The Haunting of Hill House,Shirley Jackson,5,Horror,English,Four people stay in a house with a dark reputation.,
Sense and Sensibility,Jane Austen,5,Romance,English,Two sisters with different temperaments look for love.,
Emma,Jane Austen,2,Romance,English,A young woman plays matchmaker with mixed results.,
Normal People,Sally Rooney,3,Romance,English,Two Irish teenagers drift together and apart for years.,
Me Before You,Jojo Moyes,3,Romance,English,A carer forms a bond with a man who has lost hope.,
Great Expectations,Charles Dickens,1,Classic,English,An orphan receives a fortune from an unknown benefactor.,
Oliver Twist,Charles Dickens,3,Classic,English,An orphan falls in with a gang of London pickpockets.,
Little Women,Louisa May Alcott,2,Classic,English,Four sisters grow up during the American Civil War.,
The Picture of Dorian Gray,Oscar Wilde,3,Classic,English,A portrait ages while its subject stays young.,
Treasure Island,Robert Louis Stevenson,5,Adventure,English,A boy sails in search of a pirate's buried gold.,
Around the World in Eighty Days,Jules Verne,5,Adventure,English,A gentleman bets he can circle the globe in 80 days.,
The Hunger Games,Suzanne Collins,2,Dystopian,English,A girl volunteers for a televised fight to the death.,
Matilda,Roald Dahl,3,Children,English,A gifted girl stands up to cruel adults.,
Charlie and the Chocolate Factory,Roald Dahl,2,Children,English,A poor boy wins a tour of a magical chocolate factory.,
"Guns, Germs, and Steel",Jared Diamond,1,History,English,Why some societies came to dominate others.,
Cosmos,Carl Sagan,3,Science,English,A tour of the universe and our place in it.,
Man's Search for Meaning,Viktor Frankl,1,Psychology,English,A psychiatrist reflects on surviving the concentration camps.,
Deep Work,Cal Newport,5,Self-help,English,How to focus without distraction in a noisy world.,
Design Patterns,Erich Gamma et al.,2,Technology,English,Reusable solutions to common object-oriented design problems.,
Refactoring,Martin Fowler,2,Technology,English,How to improve the design of existing code safely.,
The Mythical Man-Month,Frederick P. Brooks Jr.,1,Technology,English,Essays on why software projects run late.,
Fluent Python,Luciano Ramalho,4,Technology,English,"Writing clear, idiomatic and effective Python.",
Marina,Carlos Ruiz Zafon,2,Mystery,Spanish,Un estudiante y una chica investigan un misterio en Barcelona.,
El Lazarillo de Tormes,Anonimo,4,Classic,Spanish,Un nino pobre sirve a varios amos y aprende a sobrevivir.,
La Regenta,Leopoldo Alas Clarin,4,Classic,Spanish,Una mujer atrapada en la sociedad de una ciudad de provincias.,
Soldados de Salamina,Javier Cercas,3,Historical Fiction,Spanish,Un periodista investiga un fusilamiento fallido en la guerra civil.,
Mortadelo y Filemon: El sulfato atomico,Francisco Ibanez,2,Comics,Spanish,Dos agentes torpes persiguen un invento peligroso.,
Das Parfum,Patrick Suskind,4,Thriller,German,Ein Mann mit perfektem Geruchssinn wird zum Morder.,
